,Primary voltage rating (kV),Secondary voltage rating (kV),kVA rating (kVA),%R,%X,Year,Month,Day,Hour,Current Value,Prev Node,Prev Time,Anomaly
267,13.8,0.208,75,1.0,2.1,2017,1,12,4,5.72,5.347,4.76,0
268,13.8,0.208,75,1.0,2.1,2017,1,12,5,4.88,5.537,5.72,0
269,13.8,0.208,75,1.0,2.1,2017,1,12,6,5.04,5.499,4.88,0
270,13.8,0.208,75,1.0,2.1,2017,1,12,7,6.36,6.229,5.04,0
271,13.8,0.208,75,1.0,2.1,2017,1,12,8,14.0,26.326,6.36,0
272,13.8,0.208,75,1.0,2.1,2017,1,12,9,0.0,26.324,14.0,1
273,13.8,0.208,75,1.0,2.1,2017,1,12,10,16.36,24.838,0.0,0
274,13.8,0.208,75,1.0,2.1,2017,1,12,11,10.96,26.47,16.36,0
275,13.8,0.208,75,1.0,2.1,2017,1,12,12,20.4,26.77,10.96,2
276,13.8,0.208,75,1.0,2.1,2017,1,12,13,9.84,23.784,20.4,0
277,13.8,0.208,75,1.0,2.1,2017,1,12,14,10.48,23.927,9.84,0
278,13.8,0.208,75,1.0,2.1,2017,1,12,15,10.32,24.154,10.48,0
279,13.8,0.208,75,1.0,2.1,2017,1,12,16,15.96,24.867,10.32,0
280,13.8,0.208,75,1.0,2.1,2017,1,12,17,16.52,16.491,15.96,0
281,13.8,0.208,75,1.0,2.1,2017,1,12,18,13.44,10.322,16.52,0
282,13.8,0.208,75,1.0,2.1,2017,1,12,19,10.8,9.041,13.44,0
283,13.8,0.208,75,1.0,2.1,2017,1,12,20,11.84,7.862,10.8,0
284,13.8,0.208,75,1.0,2.1,2017,1,12,21,6.56,6.098,11.84,0
285,13.8,0.208,75,1.0,2.1,2017,1,12,22,6.88,6.055,6.56,0
286,13.8,0.208,75,1.0,2.1,2017,1,12,23,6.48,5.86,6.88,0
287,13.8,0.208,75,1.0,2.1,2017,1,13,0,6.68,5.698,6.48,0
288,13.8,0.208,75,1.0,2.1,2017,1,13,1,6.92,5.69,6.68,0
289,13.8,0.208,75,1.0,2.1,2017,1,13,2,7.36,6.688,6.92,0
290,13.8,0.208,75,1.0,2.1,2017,1,13,3,6.52,5.591,7.36,0
291,13.8,0.208,75,1.0,2.1,2017,1,13,4,7.0,5.997,6.52,0
292,13.8,0.208,75,1.0,2.1,2017,1,13,5,0.0,5.633,7.0,1
293,13.8,0.208,75,1.0,2.1,2017,1,13,6,7.28,6.048,0.0,0
294,13.8,0.208,75,1.0,2.1,2017,1,13,7,6.28,9.004,7.28,0
295,13.8,0.208,75,1.0,2.1,2017,1,13,8,13.44,24.327,6.28,0
296,13.8,0.208,75,1.0,2.1,2017,1,13,9,19.52,22.926,13.44,0
